order_id,customer_id,order_date,order_total,payment_method
5698803942,31813,01-01-2025,1227.21,Credit
7997347191,31813,02-01-2025,4498.83,Cash
3367452972,61020,03-01-2025,2515.48,Cash
4283802879,61020,04-01-2025,2769.12,Cash
4961370923,61020,05-01-2025,2560.3,Credit
2055388266,119099,06-01-2025,3722.37,Credit
4704980993,119099,07-01-2025,3153.02,Cash
6538760883,119099,08-01-2025,5122.1,Credit
6660740926,119099,09-01-2025,2771.28,Credit
1282422181,188838,10-01-2025,1116.88,Credit
3447085029,188838,11-01-2025,4065.16,Cash
8895262247,191616,12-01-2025,1664.01,Credit
9989636336,191616,13-01-2025,2425.95,Cash
3735968672,211163,14-01-2025,3555.45,Credit
4056304110,211163,15-01-2025,3567.36,Credit
5532188237,211163,16-01-2025,4861.55,Credit
3157338466,243838,17-01-2025,2859.05,Credit
5077327994,243838,18-01-2025,2694.01,Credit
9820620357,243838,19-01-2025,508,Credit
246971181,376144,20-01-2025,3266,Credit
848332407,376144,21-01-2025,1700.08,Credit
3387165389,376144,22-01-2025,3280.88,Credit
4473658819,376144,23-01-2025,941.19,Cash
5870152806,376144,24-01-2025,171.2,Cash
3055120492,408590,25-01-2025,1217.39,Cash
2142065357,469006,26-01-2025,2586.92,Cash
4286971111,469006,27-01-2025,1480.41,Cash
6269179048,469006,28-01-2025,1864.85,Cash
39791095,625395,29-01-2025,480.85,Credit
291900074,625395,30-01-2025,2248.63,Credit
1197715978,625395,31-01-2025,3388.47,Credit
9510792757,625395,01-02-2025,1067.61,Cash
3833878150,644189,02-02-2025,3376,Cash
6045698170,666589,03-02-2025,222.15,Credit
3859828998,701493,04-02-2025,2721.16,Cash
4228110436,701493,05-02-2025,2512.67,Cash
4428830794,701493,06-02-2025,2948.82,Credit
2416767295,767523,07-02-2025,2358.76,Credit
1174382816,773410,08-02-2025,1838.15,Credit
2976493998,820740,09-02-2025,2716.3,Credit
4293959647,820740,10-02-2025,878.07,Credit
6657245289,820740,11-02-2025,1820.28,Credit
7232692149,899941,12-02-2025,1932.42,Cash
7898867047,899941,13-02-2025,5189.5,Cash
8284240513,949062,14-02-2025,3558.14,Credit
8560951754,954629,15-02-2025,44.35,Credit
3239613823,966247,16-02-2025,3110.34,Cash
5008395294,1108176,17-02-2025,845.68,Cash
5769065545,1108176,18-02-2025,2822.13,Credit
3690872026,1152215,19-02-2025,1203.31,Cash
277700053,1174162,20-02-2025,190.09,Credit
1435406360,1174162,21-02-2025,2259.17,Cash
7162509481,1174162,22-02-2025,1157.52,Cash
877883470,1200365,23-02-2025,393.43,Credit
3806545110,1200365,24-02-2025,1150.34,Credit
3513524740,1301661,25-02-2025,1395.67,Credit
1204084245,1342184,26-02-2025,2833.97,Credit
7995971909,1342184,27-02-2025,3065.9,Cash
7816842690,1449273,28-02-2025,3078.32,Cash
9477050930,1449273,01-03-2025,1904.93,Credit
5095141954,1469696,02-03-2025,3229.91,Credit
5512258335,1469696,03-03-2025,242.57,Cash
2458783424,1497747,04-03-2025,1072.62,Credit
4579251445,1507408,05-03-2025,1057.68,Credit
6280233997,1507408,06-03-2025,898.19,Credit
7079057004,1507408,07-03-2025,1946.09,Credit
2506369831,1529180,08-03-2025,255.35,Credit
7886908865,1529180,09-03-2025,4319.96,Credit
7662682121,1562083,10-03-2025,4222.73,Cash
9020705185,1562083,11-03-2025,71.6,Cash
1150143976,1588560,12-03-2025,3115.75,Credit
9244122658,1588560,13-03-2025,4095.18,Credit
1080338783,1601161,14-03-2025,2039.04,Cash
5271947935,1601161,15-03-2025,1112.24,Cash
6210207010,1601161,16-03-2025,1553.52,Credit
8953871540,1601161,17-03-2025,683.46,Credit
8980701254,1601161,18-03-2025,3330.05,Credit
739434870,1603358,19-03-2025,2725.22,Cash
4361797433,1603358,20-03-2025,3074.92,Credit
5895644119,1603358,21-03-2025,1742.44,Cash
